训练轮次,平均奖励,电压越限次数,PSH约束违反,PSH保持次数,PSH发电次数,PSH抽水次数,PSH停止次数,上水库SOC,下水库SOC,电压最小值,电压最大值,总损失,Actor损失,Critic损失,评估奖励
33,7.8817,22,0,129,170,181,192,0.302,0.455,0.9471,1.0469,0.510907,-0.007108,1.063646,
34,9.4727,29,0,155,168,167,182,0.096,0.569,0.9458,1.0465,0.806422,0.003903,1.632652,
35,9.5992,25,0,125,177,176,194,0.126,0.582,0.9464,1.0464,0.810276,0.008605,1.630953,
36,7.9195,30,0,129,205,175,163,0.348,0.341,0.946,1.0465,0.477953,0.00638,0.970754,
37,9.6532,21,0,143,154,184,191,0.036,0.699,0.9468,1.0467,0.770378,0.003229,1.561898,
38,9.4004,41,0,152,180,178,162,0.038,0.511,0.9466,1.0469,0.712174,-0.002307,1.456569,
39,9.6187,19,0,129,184,162,197,0.093,0.669,0.9465,1.0469,0.711718,-0.000393,1.451818,
40,8.0412,22,0,126,201,171,174,0.585,0.211,0.9472,1.0465,0.424606,0.002429,0.871945,10.0
41,7.7473,26,0,154,168,175,175,0.269,0.449,0.9464,1.0465,0.346251,0.004195,0.711703,
42,9.688,23,0,136,176,164,196,0.104,0.621,0.9467,1.0466,0.642306,0.002513,1.307174,
43,8.0988,19,0,159,180,162,171,0.193,0.57,0.9466,1.0468,0.642306,0.002513,1.307174,
44,9.3994,24,0,138,167,183,184,0.14,0.58,0.9462,1.0463,0.574515,-0.000582,1.177782,
45,8.0433,27,0,129,188,170,185,0.306,0.402,0.9464,1.0465,0.368696,0.001802,0.76137,
46,8.0527,31,0,117,189,188,178,0.398,0.287,0.9458,1.0465,0.354491,0.000756,0.735042,
47,7.9394,25,0,133,185,184,170,0.509,0.247,0.9468,1.0465,0.334063,0.000877,0.693936,
48,8.1719,18,0,149,180,170,173,0.169,0.614,0.9459,1.0465,0.331874,0.008749,0.673805,
49,7.9582,31,0,126,177,192,177,0.383,0.303,0.9467,1.0467,0.299585,0.000182,0.626362,
50,8.1439,21,0,113,164,185,210,0.211,0.545,0.9461,1.0466,0.300586,-0.005162,0.639039,9.9946
51,7.691,25,0,151,169,176,176,0.29,0.438,0.946,1.0466,0.281057,0.006028,0.577591,
52,8.0588,23,0,131,174,182,185,0.303,0.454,0.9466,1.0465,0.290124,-0.000712,0.609191,
53,8.1094,32,0,118,189,184,181,0.297,0.364,0.9462,1.0466,0.296264,0.013996,0.59205,
54,8.007,32,0,124,176,191,181,0.241,0.416,0.9468,1.0468,0.286537,-0.005508,0.611594,
55,7.8552,24,0,138,178,185,171,0.23,0.5,0.9472,1.0468,0.283723,0.000465,0.594005,
56,8.009,25,0,122,199,184,167,0.279,0.445,0.9459,1.0464,0.255274,-0.007144,0.552308,
57,8.0577,22,0,121,192,179,180,0.306,0.453,0.9462,1.0465,0.286189,-7.6e-05,0.59997,
